text,intent
phát bài hát mới nhất,play_music
phát một đoạn nhạc hay,play_music
cho tôi xin nhạc,play_music
cho nhạc thư giãn,play_music
cho tôi ít nhạc,play_music
cho ít nhạc đi,play_music
cho xin ít nhạc,play_music
cho xin ít nhạc ballad nhẹ thôi,play_music
cho tôi ít giai điệu đi,play_music
cho tôi chút nhạc thư giãn,play_music
cho tôi không khí âm nhạc tí nào,play_music
chán quá làm khuấy động không khi lên,play_music
tôi đang chán hãy làm gì đó,play_music
nhạc,play_music
nhạc đâu,play_music
lên nhạc,play_music
lên nhạc đi,play_music
lên cho tôi ít nhạc,play_music
lên cho tôi một vài giai điệu,play_music
lên cho tôi con beat,play_music
dừng mở nhạc,stop_music
dừng bật nhạc,stop_music
dừng nhạc đi,stop_music
dừng nhạc cho tôi,stop_music
dừng phát nhạc,stop_music
dừng phát nhạc ngay,stop_music
dừng phát nhạc cho tôi,stop_music
dừng phát nhạc giúp tôi,stop_music
dừng bài hát lại,stop_music
dừng bài hát giúp tôi nhé,stop_music
dừng bài hát lại nào,stop_music
dừng bài hát lại ngay,stop_music
dừng bài nhạc này,stop_music
dừng nhạc ,stop_music
dừng nhạc giúp tôi,stop_music
dừng nhạc lại ngay,stop_music
dừng nhạc lại nào,stop_music
dừng nhạc cho tôi ngay,stop_music
dừng bài hát,stop_music
dừng đoạn nhạc đó lại,stop_music
tắt nhạc,stop_music
tắt nhạc đi,stop_music
tắt nhạc ngay,stop_music
tắt nhạc giùm cái,stop_music
tắt nhạc ngay đi,stop_music
tắt nhạc giúp tôi cái,stop_music
tắt nhạc giúp tôi nào,stop_music
tắt loa,stop_music
tắt loa giúp tôi cái,stop_music
tắt bài hát,stop_music
tắt luôn bài hát,stop_music
tắt luôn nhạc,stop_music
tạm dừng bài hát,stop_music
tạm dừng nhạc ,stop_music
ngưng bài hát lại,stop_music
đừng làm ồn,stop_music
đừng làm ồn nữa,stop_music
đừng phát nhạc nữa,stop_music
đừng bật nhạc nữa,stop_music
đừng phát nhạc tiếp nữa,stop_music
ngừng phát nhạc lại nào,stop_music
ngừng nhạc,stop_music
ngừng phát nhạc,stop_music
ngừng bài hát lại,stop_music
ngừng bật nhạc,stop_music
ngừng tiếng nhạc,stop_music
thôi mở nhạc,stop_music
thôi phát nhạc,stop_music
thôi bật nhạc,stop_music
thôi nhạc,stop_music
thôi bài hát,stop_music
thôi nhạc đi,stop_music
tôi chán nghe nhạc rồi,stop_music
tôi muốn yên tĩnh một chút,stop_music
tôi không muốn mở nhạc nữa,stop_music
đừng chạy nhạc nữa,stop_music
để yên tĩnh tắt nhạc đi,stop_music
bạn ơi tắt nhạc nhé,stop_music
đủ rồi,stop_music
cho nhạc dừng lại,stop_music
ngưng tiếng hát đi,stop_music
đóng nhạc ngay,stop_music
không cần nhạc bây giờ,stop_music
bạn dừng nhạc giúp tôi nhé,stop_music
xin hãy tắt nhạc,stop_music
bạn làm ơn ngưng nhạc đi,stop_music
giúp mình dừng nhạc nhé,stop_music
có thể tắt nhạc cho tôi không?,stop_music
vui lòng tắt nhạc,stop_music
bạn hãy tắt nhạc,stop_music
phiền bạn tắt nhạc,stop_music
giúp tôi ngưng nhạc,stop_music
có thể ngắt nhạc được không?,stop_music
ê tắt nhạc đi,stop_music
ngưng nhạc nhé,stop_music
thôi đừng mở nhạc nữa,stop_music
cúp nhạc đi,stop_music
cho nhạc nghỉ,stop_music
thôi nhạc nào,stop_music
nghỉ nhạc đi,stop_music
đóng nhạc lại,stop_music
hạ nhạc xuống,stop_music
tắt nhạc nha,stop_music
ồn quá tắt nhạc đi,stop_music
nhạc to quá dừng lại,stop_music
đau đầu rồi ngưng nhạc,stop_music
tắt nhạc ồn quá,stop_music
không thích nghe nữa tắt nhạc đi,stop_music
nhạc phiền quá tắt đi,stop_music
đủ rồi im lặng nào,stop_music
stop nhạc,stop_music
off nhạc đi,stop_music
ngừng ngay đi,stop_music
thôi phát nhạc đi,stop_music
im lặng tắt nhạc,stop_music
tôi cần bạn tắt nhạc giúp tôi,stop_music
tôi cần tập trung dừng nhạc đi,stop_music
tôi chuẩn bị ngủ ngưng nhạc đi,stop_music
tôi không cần nghe nhạc nữa,stop_music
tôi không cần mở nhạc nữa,stop_music
tôi không cần phát nhạc nữa,stop_music
tôi không cần bật lại nữa,stop_music
tôi không cần nghe bài hát nào nữa,stop_music
ngưng nhạc tôi muốn nghỉ,stop_music
cho phòng yên lặng dừng nhạc,stop_music
đang họp tắt nhạc,stop_music
không cần mở nhạc nữa tắt nhạc đi,stop_music
không cần nhạc nữa tắt nhạc đi,stop_music
hãy tắt nhạc đi,stop_music
hãy dừng nhạc lại đi,stop_music
hãy tắt nhạc ngay nào,stop_music
hãy tắt nhạc ,stop_music
hãy ngừng phát nhạc,stop_music
hãy dừng nhạc lại ngay,stop_music
hãy cho nhạc dừng lại,stop_music
hãy cho bài hát dừng lại,stop_music
hãy dừng nhạc,stop_music
hãy dừng nhạc giúp tôi,stop_music
hãy ngừng nhạc,stop_music
hãy ngưng phát nhạc,stop_music
hãy ngưng lại lại,stop_music
hãy tắt nhạc giúp tôi,stop_music
đã bảo là đừng mở nhạc nữa cơ mà,stop_music
mày có biết mở cửa không,open_door
tao muốn mở cửa,open_door
mở cửa cho tôi,open_door
đã bảo là mở cửa ra mà,open_door
đã bảo là mở cửa,open_door
mày có mở cửa ra không,open_door
mở cửa ra nào,open_door
mở cửa,open_door
mở cửa lẹ lẹ coi,open_door
mở cửa đi,open_door
mở cửa lẹ đi bạn hiền,open_door
mở cửa nhanh lên,open_door
mở cửa lẹ lên đi ông tướng,open_door
mở cửa mau,open_door
mở cửa lẹ coi nào,open_door
mở cửa giúp tao,open_door
mở cửa lẹ lên giùm tôi,open_door
mở cửa ra coi,open_door
mở cửa đi anh em,open_door
mở cửa ngay,open_door
mở cửa lẹ lẹ cho tôi cái,open_door
mở cửa liền tay,open_door
mở cửa cái nào,open_door
mở cửa cho tao,open_door
mở cửa lẹ lẹ nha,open_door
mở cửa hộ cái,open_door
mở cửa lẹ lẹ giúp tao,open_door
mở cửa hộ anh,open_door
mở cửa nhanh nào,open_door
mở cửa với,open_door
mở cửa nhanh coi,open_door
mở cửa gấp đi,open_door
mở cửa lẹ lẹ coi nào,open_door
mở cửa lẹ đi,open_door
mở cửa lẹ lẹ đi coi,open_door
mở cửa giùm tao,open_door
mở cửa lẹ lẹ anh bạn,open_door
mở cửa giùm cái,open_door
mở cửa lẹ lẹ bạn ơi,open_door
mở cửa giùm anh,open_door
mở cửa lẹ lẹ nghe chưa,open_door
mở cửa giùm em,open_door
mở cửa lẹ lẹ giùm em cái,open_door
mở cửa ngay lập tức,open_door
mở cửa lẹ lẹ ngay lập tức,open_door
mở cửa gấp gáp luôn,open_door
mở cửa lẹ lẹ nhanh tay lên,open_door
làm ơn mở cửa,open_door
mở cửa lẹ lẹ đi thằng bạn,open_door
xin mở cửa,open_door
mở cửa lẹ lẹ cho tôi,open_door
vui lòng mở cửa,open_door
mở cửa lẹ lẹ với nào,open_door
hãy mở cửa,open_door
mở cửa lẹ lẹ giùm cái coi,open_door
hãy mở cửa ngay,open_door
mở cửa lẹ lẹ em ơi,open_door
bạn hãy mở cửa,open_door
mở cửa lẹ lẹ anh ơi,open_door
bạn có thể mở cửa không,open_door
mở cửa lẹ lẹ bạn trẻ,open_door
bạn có thể mở cửa cho tôi được không,open_door
mở cửa lẹ lẹ nhanh lên nha,open_door
bạn có thể giúp tôi mở cửa không,open_door
mở cửa lẹ lẹ liền nha,open_door
có thể mở cửa giúp tôi không,open_door
mở cửa lẹ lẹ coi đi,open_door
tôi muốn mở cửa,open_door
mở cửa lẹ lẹ tôi chờ lâu rồi,open_door
tôi muốn bạn mở cửa cho tôi,open_door
mở cửa lẹ lẹ kẻo trễ,open_door
tôi muốn bạn giúp tôi mở cửa,open_door
mở cửa lẹ lẹ kẻo muộn giờ,open_door
tôi cần mở cửa,open_door
mở cửa lẹ lẹ ra coi,open_door
tôi cần bạn mở cửa,open_door
mở cửa lẹ lẹ đi kẻo nóng,open_door
tôi cần bạn giúp tôi mở cửa,open_door
mở cửa lẹ lẹ coi chừng ngộp,open_door
tôi yêu cầu mở cửa,open_door
mở cửa lẹ lẹ ngay nào,open_door
tôi bảo mở cửa cơ mà,open_door
mở cửa lẹ lẹ cho thông thoáng,open_door
đã bảo mở cửa rồi,open_door
mở cửa lẹ lẹ để hít thở,open_door
đã nói mở cửa đi mà,open_door
mở cửa lẹ lẹ cho sáng,open_door
mở cửa ra nghe chưa,open_door
mở cửa lẹ lẹ coi thử nào,open_door
mở cửa ra coi nào,open_door
mở cửa lẹ lẹ đi kẻo trễ việc,open_door
mở cửa cái coi,open_door
mở cửa lẹ lẹ coi cho tôi,open_door
mở cửa lẹ coi,open_door
mở cửa lẹ lẹ đi gấp,open_door
tao bảo mở cửa cho tao,open_door
mở cửa lẹ lẹ cho thoải mái,open_door
bố mày bảo mở cửa,open_door
mở cửa lẹ lẹ cho gió vào,open_door
mở cửa đi cưng,open_door
mở cửa lẹ lẹ đi nóng quá trời,open_door
mở cửa lẹ đi cưng,open_door
mở cửa lẹ lẹ đi ngộp quá,open_door
mở cửa đi bạn ơi,open_door
mở cửa lẹ lẹ cho dễ thở nào,open_door
mở cửa đi anh bạn,open_door
mở cửa lẹ lẹ đi coi thử,open_door
mở cửa đi bro,open_door
mở cửa lẹ lẹ tôi chờ ngoài đây,open_door
open the door,open_door
mở cửa lẹ lẹ coi nào anh bạn,open_door
mở cánh cửa này,open_door
mở cửa lẹ lẹ để em vào,open_door
mở cửa nhà ra,open_door
mở cửa lẹ lẹ để tao vô,open_door
mở cửa phòng đi,open_door
mở cửa lẹ lẹ cho khách vào,open_door
mở cửa phòng này,open_door
mở cửa lẹ lẹ cho người ta vào,open_door
mở cửa ra cho thoáng,open_door
mở cửa lẹ lẹ giùm tao với,open_door
mở cửa ra cho mát tí,open_door
mở cửa lẹ lẹ đi tôi đợi,open_door
mở cửa để hít khí trời,open_door
mở cửa lẹ lẹ nha bạn hiền,open_door
mở cửa đi nóng quá,open_door
mở cửa lẹ lẹ bạn ơi lẹ lên,open_door
mở cửa đi ngột ngạt quá,open_door
mở cửa lẹ lẹ đi kẻo trời mưa,open_door
mở cửa cho dễ thở,open_door
mở cửa lẹ lẹ vì tôi kẹt ngoài này,open_door
mở cửa cho có gió,open_door
mở cửa lẹ lẹ coi trời nóng quá,open_door
mở cửa cho sáng sủa tí,open_door
mở cửa lẹ lẹ coi tôi gấp lắm,open_door
mở cửa cho thoáng đãng,open_door
mở cửa lẹ lẹ coi không chịu nổi,open_door
mở cửa giùm đi nóng quá,open_door
mở cửa lẹ lẹ đi nhanh nha,open_door
mở cửa giùm cho tôi,open_door
mở cửa lẹ lẹ cho dễ chịu,open_door
mở cửa giùm đi,open_door
mở cửa lẹ lẹ đi kẻo trễ hẹn,open_door
mở cửa giùm cái coi,open_door
mở cửa lẹ lẹ coi chừng bị kẹt,open_door
cửa khóa rồi mở ra đi,open_door
mở cửa lẹ lẹ coi tôi đứng chờ,open_door
mở khóa cửa ra đi,open_door
mở cửa lẹ lẹ ngay lập tức đi,open_door
mở cửa lẹ lẹ coi nào lẹ lên,open_door
mở cửa nhanh lên nào,open_door
mở cửa lẹ lẹ nha ông tướng,open_door
mở cửa lẹ tay đi,open_door
open the gate now,open_door
khẩn trương mở cửa ngay,open_door
đóng cửa,close_door
đóng cửa lại nào,close_door
đóng cửa đi anh em,close_door
đóng cửa lẹ lẹ coi,close_door
đóng cửa nhanh lên,close_door
đóng cửa lẹ đi bạn hiền,close_door
đóng cửa mau,close_door
đóng cửa lẹ lên đi ông tướng,close_door
đóng cửa giúp tao,close_door
đóng cửa lẹ coi nào,close_door
đóng cửa lại coi,close_door
đóng cửa lẹ lên giùm tôi,close_door
đóng cửa ngay,close_door
đóng cửa liền tay,close_door
đóng cửa cho tao,close_door
đóng cửa cái nào,close_door
đóng cửa hộ cái,close_door
đóng cửa lẹ lẹ nha,close_door
đóng cửa hộ anh,close_door
đóng cửa lẹ lẹ giúp tao,close_door
đóng cửa với,close_door
đóng cửa nhanh nào,close_door
đóng cửa gấp đi,close_door
đóng cửa nhanh coi,close_door
đóng cửa lẹ đi,close_door
đóng cửa lẹ lẹ coi nào,close_door
đóng cửa giùm tao,close_door
đóng cửa lẹ lẹ đi coi,close_door
đóng cửa giùm cái,close_door
đóng cửa lẹ lẹ anh bạn,close_door
đóng cửa giùm anh,close_door
đóng cửa lẹ lẹ bạn ơi,close_door
đóng cửa giùm em,close_door
đóng cửa lẹ lẹ nghe chưa,close_door
đóng cửa ngay lập tức,close_door
đóng cửa lẹ lẹ giùm em cái,close_door
đóng cửa gấp gáp luôn,close_door
đóng cửa lẹ lẹ ngay lập tức,close_door
làm ơn đóng cửa,close_door
đóng cửa lẹ lẹ nhanh tay lên,close_door
xin đóng cửa,close_door
đóng cửa lẹ lẹ đi thằng bạn,close_door
vui lòng đóng cửa,close_door
đóng cửa lẹ lẹ cho tôi cái,close_door
hãy đóng cửa,close_door
đóng cửa lẹ lẹ với nào,close_door
hãy đóng cửa ngay,close_door
đóng cửa lẹ lẹ giùm cái coi,close_door
bạn hãy đóng cửa,close_door
đóng cửa lẹ lẹ em ơi,close_door
bạn có thể đóng cửa không,close_door
đóng cửa lẹ lẹ anh ơi,close_door
bạn có thể đóng cửa cho tôi được không,close_door
đóng cửa lẹ lẹ bạn trẻ,close_door
bạn có thể giúp tôi đóng cửa không,close_door
đóng cửa lẹ lẹ nhanh lên nha,close_door
có thể đóng cửa giúp tôi không,close_door
đóng cửa lẹ lẹ liền nha,close_door
tôi muốn đóng cửa,close_door
đóng cửa lẹ lẹ coi đi,close_door
tôi muốn bạn đóng cửa cho tôi,close_door
đóng cửa lẹ lẹ tôi chờ lâu rồi,close_door
tôi muốn bạn giúp tôi đóng cửa,close_door
đóng cửa lẹ lẹ kẻo lạnh,close_door
tôi cần đóng cửa,close_door
đóng cửa lẹ lẹ kẻo gió lùa,close_door
tôi cần bạn đóng cửa,close_door
đóng cửa lẹ lẹ ra coi,close_door
tôi cần bạn giúp tôi đóng cửa,close_door
đóng cửa lẹ lẹ đi muỗi bay vào,close_door
tôi yêu cầu đóng cửa,close_door
đóng cửa lẹ lẹ coi bụi vào,close_door
tôi bảo đóng cửa cơ mà,close_door
đóng cửa lẹ lẹ ngay nào,close_door
đã bảo đóng cửa rồi,close_door
đã nói đóng cửa đi mà,close_door
đóng cửa lại nghe chưa,close_door
đóng cửa lại coi nào,close_door
đóng cửa cái coi,close_door
tao bảo đóng cửa cho tao,close_door
bố mày bảo đóng cửa,close_door
đóng cửa đi cưng,close_door
đóng cửa lẹ đi cưng,close_door
đóng cửa đi bạn ơi,close_door
đóng cửa đi anh bạn,close_door
đóng cửa đi bro,close_door
đóng cánh cửa này,close_door
đóng cửa nhà lại,close_door
đóng cửa phòng đi,close_door
đóng cửa phòng này,close_door
đóng cửa lại cho thoáng,close_door
cửa mở rồi đóng lại đi,close_door
khép cửa đi,close_door
khép cửa lại,close_door
khép cửa cho kín,close_door
khép cửa giùm tao,close_door
khép cửa hộ cái,close_door
khép cửa giùm cái,close_door
khép cửa liền tay,close_door
khép cửa lẹ lên,close_door
khép cửa phòng lại,close_door
khép cửa nhà đi,close_door
khép cửa lại cho tao,close_door
khép cửa giùm tôi,close_door
khép cửa hộ anh,close_door
làm ơn khép cửa lại,close_door
vui lòng khép cửa giúp tôi,close_door
hãy khép cửa,close_door
gài cửa lại đi,close_door
gài chốt cửa đi,close_door
gài chốt cửa ngay,close_door
đóng cửa để khỏi bụi,close_door
gài cửa phòng lại,close_door
đóng cửa đi lạnh quá,close_door
kéo cửa lại đi,close_door
đóng cửa đi gió thổi mạnh quá,close_door
kéo cửa lại cho kín,close_door
đóng cửa cho dễ chịu,close_door
kéo cửa giùm tôi,close_door
đóng cửa cho đỡ ồn,close_door
kéo cửa giùm cái,close_door
đóng cửa cho kín gió,close_door
kéo cửa phòng lại,close_door
đóng cửa cho ấm áp,close_door
cài cửa đi,close_door
đóng cửa giùm đi lạnh quá,close_door
cài cửa ngay,close_door
đóng cửa giùm cho tôi,close_door
cài chốt cửa lại,close_door
đóng cửa giùm đi,close_door
cài cửa phòng đi,close_door
đóng cửa giùm cái coi,close_door
đóng cửa vào đi,close_door
gài cửa lại cho chắc,close_door
đóng cửa nhanh lên nào,close_door
kéo cửa lại kẻo bụi,close_door
đóng cửa lẹ tay đi,close_door
cài chốt cửa phòng đi,close_door
khẩn trương đóng cửa ngay,close_door
khép cửa lại cho tao dễ ngủ,close_door
cài ngay cửa lại,close_door
mở quạt,open_fan
mở quạt lên,open_fan
mở quạt đi,open_fan
mở quạt ngay,open_fan
mở quạt với,open_fan
mở quạt nhanh lên,open_fan
mở quạt giúp,open_fan
mở cái quạt đi,open_fan
mở quạt giùm cái,open_fan
bật quạt,open_fan
bật quạt lên,open_fan
bật quạt đi,open_fan
bảo mở quạt cơ mà,open_fan
bảo bật quạt cơ mà,open_fan
bật quạt ngay,open_fan
bật quạt nhanh lên,open_fan
bật quạt với,open_fan
bật quạt giúp,open_fan
bật quạt hộ cái,open_fan
mở quạt hộ cái,open_fan
bật quạt giùm cái,open_fan
bật cái quạt đi,open_fan
bật cái quạt lên,open_fan
mở cái quạt lên,open_fan
cho quạt chạy đi,open_fan
cho quạt chạy lên,open_fan
cho quạt khởi động,open_fan
bật quạt cái nào,open_fan
mở quạt cái nào,open_fan
bật quạt cái đã,open_fan
mở quạt cái đã,open_fan
khởi động quạt đi,open_fan
khởi động quạt lên,open_fan
bật quạt khởi động,open_fan
mở quạt khởi động,open_fan
kích hoạt quạt,open_fan
kích hoạt quạt đi,open_fan
kích hoạt cái quạt lên,open_fan
kích hoạt quạt ngay,open_fan
khởi chạy quạt đi,open_fan
khởi chạy quạt lên,open_fan
cho quạt hoạt động đi,open_fan
cho quạt bật lên,open_fan
cho quạt mở lên,open_fan
bật quạt cho mát,open_fan
mở quạt cho mát,open_fan
bật quạt đi cho mát,open_fan
mở quạt đi cho mát,open_fan
bật quạt cho mát hơn,open_fan
mở quạt cho mát hơn,open_fan
bật quạt liền,open_fan
mở quạt liền,open_fan
bật quạt lẹ đi,open_fan
mở quạt lẹ đi,open_fan
bật quạt nhanh đi,open_fan
mở quạt nhanh đi,open_fan
bật quạt tức thì,open_fan
mở quạt tức thì,open_fan
bật quạt ngay đi,open_fan
mở quạt ngay đi,open_fan
bật quạt luôn,open_fan
mở quạt luôn,open_fan
bật quạt ngay bây giờ,open_fan
mở quạt ngay bây giờ,open_fan
bật quạt gấp,open_fan
mở quạt gấp,open_fan
làm ơn bật quạt đi,open_fan
làm ơn mở quạt đi,open_fan
phiền bật quạt đi,open_fan
phiền mở quạt đi,open_fan
bạn ơi bật quạt đi,open_fan
bạn ơi mở quạt đi,open_fan
anh ơi bật quạt đi,open_fan
anh ơi mở quạt đi,open_fan
chị ơi bật quạt đi,open_fan
chị ơi mở quạt đi,open_fan
em ơi bật quạt đi,open_fan
em ơi mở quạt đi,open_fan
mở quạt giùm cái đi,open_fan
bật quạt giùm cái đi,open_fan
mở quạt giùm anh,open_fan
bật quạt giùm anh,open_fan
mở quạt giùm em,open_fan
bật quạt giùm em,open_fan
mở quạt giùm tôi,open_fan
bật quạt giùm tôi,open_fan
mở quạt giùm tôi cái,open_fan
bật quạt giùm tôi cái,open_fan
mở quạt giùm chút,open_fan
bật quạt giùm chút,open_fan
mở quạt giùm cái nha,open_fan
bật quạt giùm cái nha,open_fan
mở quạt lên giùm tôi,open_fan
bật quạt lên giùm tôi,open_fan
mở quạt cho tôi với,open_fan
bật quạt cho tôi với,open_fan
mở quạt cho tôi nha,open_fan
bật quạt cho tôi nha,open_fan
mở quạt cho tôi cái,open_fan
bật quạt cho tôi cái,open_fan
mở quạt cho em với,open_fan
bật quạt cho em với,open_fan
mở quạt cho anh với,open_fan
bật quạt cho anh với,open_fan
bật quạt đi tôi nóng quá,open_fan
mở quạt đi tôi nóng quá,open_fan
bật quạt đi nóng quá,open_fan
mở quạt đi nóng quá,open_fan
bật quạt cho mát cái,open_fan
mở quạt cho mát cái,open_fan
bật quạt đi trời nóng quá,open_fan
mở quạt đi trời nóng quá,open_fan
mở cái quạt này lên,open_fan
bật quạt ngay lập tức,open_fan
khởi động cái quạt đi,open_fan
cho quạt hoạt động ngay,open_fan
bật quạt ngay đi cho mát,open_fan
mở quạt ngay đi cho mát,open_fan
mở quạt cho nó mát,open_fan
bật quạt cho nó mát,open_fan
làm quạt chạy đi,open_fan
cho quạt khởi động ngay,open_fan
bật quạt đi lẹ lẹ,open_fan
mở quạt đi lẹ lẹ,open_fan
mở quạt giùm anh cái,open_fan
bật quạt giùm anh cái,open_fan
bật quạt giùm em cái,open_fan
mở quạt giùm em cái,open_fan
mở quạt giùm tôi với,open_fan
bật quạt giùm tôi với,open_fan
mở quạt hộ tôi với,open_fan
bật quạt hộ tôi với,open_fan
mở quạt ngay bây giờ đi,open_fan
bật quạt ngay bây giờ đi,open_fan
mở quạt cho bớt nóng,open_fan
bật quạt cho bớt nóng,open_fan
bật quạt nhanh lên nào,open_fan
mở quạt nhanh lên nào,open_fan
bật quạt đi lẹ lên,open_fan
mở quạt đi lẹ lên,open_fan
bật quạt đi cho nhanh,open_fan
mở quạt đi cho nhanh,open_fan
mở quạt đi gấp,open_fan
bật quạt đi gấp,open_fan
bật quạt đi liền,open_fan
mở quạt đi liền,open_fan
bật quạt giúp tôi,open_fan
cho quạt chạy lại,open_fan
hãy bật quạt,open_fan
tắt cái quạt,close_fan
tắt quạt đó,close_fan
tắt cái quạt đó,close_fan
tắt quạt này,close_fan
tắt cái quạt này,close_fan
tắt quạt bàn,close_fan
tắt quạt trần,close_fan
tắt quạt tường,close_fan
tắt quạt đứng,close_fan
tắt quạt máy,close_fan
tắt quạt điện,close_fan
tắt quạt hơi nước,close_fan
tắt quạt cho tôi,close_fan
tắt quạt cho em,close_fan
tắt quạt cho anh,close_fan
tắt quạt cho chị,close_fan
tắt quạt cho bé,close_fan
tắt quạt cho bớt ồn,close_fan
tắt quạt cho đỡ lạnh,close_fan
tắt quạt để tiết kiệm điện,close_fan
tắt quạt để ngủ,close_fan
tắt quạt để sưởi ấm,close_fan
tắt quạt,close_fan
ngừng quạt,close_fan
dừng quạt,close_fan
ngắt quạt,close_fan
ngừng cái quạt,close_fan
dừng cái quạt,close_fan
ngắt cái quạt,close_fan
ngừng chạy quạt,close_fan
ngưng chạy quạt,close_fan
dừng chạy quạt,close_fan
cho quạt dừng lại,close_fan
cho quạt nghỉ,close_fan
cho quạt tạm dừng,close_fan
cho quạt ngừng quay,close_fan
cho cánh quạt ngừng,close_fan
ngắt nguồn quạt,close_fan
ngắt điện quạt,close_fan
ngắt nguồn cái quạt,close_fan
ngắt điện cái quạt,close_fan
tắt luôn quạt,close_fan
tắt liền quạt,close_fan
tắt quạt ngay lập tức,close_fan
tắt quạt ngay,close_fan
tắt quạt liền,close_fan
tắt quạt lẹ,close_fan
tắt quạt gấp,close_fan
tắt quạt mau,close_fan
tắt quạt mau lẹ,close_fan
tắt quạt ngay bây giờ,close_fan
